[Measurement for 1mb at 01:04:45 17.04.2014] 
Tshark:

  1   0.000000 fe80::5ef9:6aff:fe25:83d4 -> fe80::446a:b521:8794:ef65 ICMPv6 86 Neighbor Solicitation for fe80::446a:b521:8794:ef65 from 5c:f9:6a:25:83:d4
  2   0.000254 fe80::446a:b521:8794:ef65 -> fe80::5ef9:6aff:fe25:83d4 ICMPv6 86 Neighbor Advertisement fe80::446a:b521:8794:ef65 (sol, ovr) is at 00:24:d7:3f:fc:98
 99   2.632136  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=86801 Win=65792 Len=0
100   2.632225 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
101   2.654404 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
102   2.654463  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=89601 Win=65792 Len=0
103   2.658000 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
104   2.658073 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
105   2.658119  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=92401 Win=323328 Len=0
106   2.658208 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
107   2.661972 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
108   2.662040  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=95201 Win=323328 Len=0
109   2.662136 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
110   2.662177 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
111   2.662260  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=98001 Win=323328 Len=0
112   2.662335 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
113   2.662374 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
114   2.662409  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=100801 Win=323328 Len=0
115   2.662483 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
116   2.662548 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
117   2.662584  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=103601 Win=323328 Len=0
118   2.662657 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
119   2.662694 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
120   2.662730  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=106401 Win=323328 Len=0
121   2.662803 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
122   2.662854 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
123   2.662890  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=109201 Win=323328 Len=0
124   2.665497 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
125   2.665557 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
126   2.665606  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=112001 Win=323328 Len=0
127   2.665718 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
128   2.665759 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
129   2.665797  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=114801 Win=323328 Len=0
130   2.665894 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
131   2.678041 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
132   2.678138  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=117601 Win=323328 Len=0
133   2.678210 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
134   2.678245 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
135   2.678277  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=120401 Win=323328 Len=0
136   2.678338 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
137   2.678370 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
138   2.678401  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=123201 Win=323328 Len=0
139   2.678460 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
140   2.678492 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
141   2.678522  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=126001 Win=323328 Len=0
142   2.678581 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
143   2.678613 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
144   2.678642  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=128801 Win=323328 Len=0
145   2.678701 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
146   2.678734 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
147   2.678765  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=131601 Win=323328 Len=0
148   2.678880 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
149   2.678915 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
150   2.678947  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=134401 Win=323328 Len=0
151   2.679028 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
152   2.679060 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
153   2.679116  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=137201 Win=323328 Len=0
154   2.687248 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
155   2.687298 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
156   2.687336  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=140001 Win=323328 Len=0
157   2.692550 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
158   2.692599 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
159   2.692636  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=142801 Win=347136 Len=0
160   2.692725 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
161   2.692777 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
162   2.692824  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=145601 Win=347136 Len=0
163   2.692918 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
164   2.692952 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
165   2.692983  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=148401 Win=347136 Len=0
166   2.693064 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
167   2.693118 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
168   2.693164  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=151201 Win=347136 Len=0
169   2.693255 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
170   2.695743 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
171   2.695797  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=154001 Win=347136 Len=0
172   2.698957 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
173   2.703328 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
174   2.703380  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=156801 Win=347136 Len=0
175   2.703474 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
176   2.703507 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
177   2.703539  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=159601 Win=347136 Len=0
178   2.703621 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
179   2.703654 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
180   2.703684  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=162401 Win=347136 Len=0
181   2.703765 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
182   2.703797 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
183   2.703827  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=165201 Win=347136 Len=0
184   2.703907 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
185   2.703939 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
186   2.703970  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=168001 Win=347136 Len=0
187   2.704050 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
188   2.708976 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
189   2.709027  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=170801 Win=347136 Len=0
190   2.709102 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
191   2.709139 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
192   2.709172  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=173601 Win=347136 Len=0
193   2.709233 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
194   2.709266 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
195   2.709296  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=176401 Win=347136 Len=0
196   2.709355 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
197   2.709387 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
198   2.709417  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=179201 Win=347136 Len=0
199   2.709475 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
200   2.709517 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
201   2.709547  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=182001 Win=347136 Len=0
202   2.709606 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
203   2.709638 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
204   2.709668  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=184801 Win=347136 Len=0
205   2.710625 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
206   2.712891 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
207   2.712945  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=187601 Win=347136 Len=0
208   2.722268 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
209   2.722314 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
210   2.722349  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=190401 Win=376576 Len=0
211   2.722419 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
212   2.722451 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
213   2.722481  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=193201 Win=376576 Len=0
214   2.722542 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
215   2.722573 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
216   2.722603  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=196001 Win=376576 Len=0
217   2.722662 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
218   2.722694 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
219   2.722724  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=198801 Win=376576 Len=0
220   2.722783 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
221   2.722816 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
222   2.722845  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=201601 Win=376576 Len=0
223   2.722905 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
224   2.722981 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
225   2.723019  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=204401 Win=376576 Len=0
226   2.723100 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
227   2.727142 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
228   2.727197  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=207201 Win=376576 Len=0
229   2.727289 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
230   2.727323 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
231   2.727394  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=210001 Win=376576 Len=0
232   2.727510 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
233   2.727544 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
234   2.727575  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=212801 Win=376576 Len=0
235   2.727657 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
236   2.727717 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
237   2.727765  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=215601 Win=376576 Len=0
238   2.727859 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
239   2.729976 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
240   2.730031  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=218401 Win=376576 Len=0
241   2.732754 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
242   2.732801 54.230.97.235 -> 192.168.1.2  TCP 1454 [TCP segment of a reassembled PDU]
243   2.732844  192.168.1.2 -> 54.230.97.235 TCP 54 49703→80 [ACK] Seq=97 Ack=221201 Win=376576 Len=0
